imdb_title_id,year,genre,colors,genre_1,genre_2,genre_3,color_1,color_2,color_3,color_4,color_5
tt0082111,1981,Comedy,"['silver', 'black', 'white', 'olive', 'silver']",Comedy,,,silver, black, white, olive, silver
tt0082121,1981,"Comedy, Drama","['silver', 'black', 'silver', 'red', 'gray']",Comedy, Drama,,silver, black, silver, red, gray
tt0082136,1981,"Action, Comedy, Sport","['black', 'white', 'silver', 'maroon', 'gray']",Action, Comedy, Sport,black, white, silver, maroon, gray
tt0082138,1981,"Comedy, Drama","['gray', 'silver', 'gray', 'black', 'maroon']",Comedy, Drama,,gray, silver, gray, black, maroon
tt0082146,1981,"Comedy, Romance","['black', 'silver', 'aqua', 'gray', 'maroon']",Comedy, Romance,,black, silver, aqua, gray, maroon
tt0082158,1981,"Biography, Drama, Sport","['gray', 'silver', 'silver', 'olive', 'gray']",Biography, Drama, Sport,gray, silver, silver, olive, gray
tt0082193,1981,Western,"['black', 'silver', 'olive', 'silver', 'gray']",Western,,,black, silver, olive, silver, gray
tt0082200,1981,"Comedy, Romance","['gray', 'black', 'yellow', 'silver', 'gray']",Comedy, Romance,,gray, black, yellow, silver, gray
tt0082220,1981,"Crime, Drama, Mystery","['silver', 'black', 'gray', 'white', 'purple']",Crime, Drama, Mystery,silver, black, gray, white, purple
tt0082222,1981,"Drama, History","['teal', 'silver', 'black', 'gray', 'gray']",Drama, History,,teal, silver, black, gray, gray
tt0082245,1981,Horror,"['navy', 'gray', 'black', 'silver', 'gray']",Horror,,,navy, gray, black, silver, gray
tt0082263,1981,"Comedy, Family, Fantasy","['black', 'white', 'gray', 'maroon', 'silver']",Comedy, Family, Fantasy,black, white, gray, maroon, silver
tt0082288,1981,"Action, Adventure, Fantasy","['black', 'silver', 'olive', 'black', 'gray']",Action, Adventure, Fantasy,black, silver, olive, black, gray
tt0082329,1981,"Drama, Romance","['white', 'gray', 'gray', 'silver', 'maroon']",Drama, Romance,,white, gray, gray, silver, maroon
tt0082340,1981,"Action, Adventure, Sci-Fi","['black', 'black', 'silver', 'gray', 'red']",Action, Adventure, Sci-Fi,black, black, silver, gray, red
tt0082348,1981,"Adventure, Drama, Fantasy","['black', 'black', 'silver', 'maroon', 'gray']",Adventure, Drama, Fantasy,black, black, silver, maroon, gray
tt0082351,1981,"Romance, Thriller, War","['black', 'gray', 'olive', 'gray', 'silver']",Romance, Thriller, War,black, gray, olive, gray, silver
tt0082352,1981,"Horror, Thriller","['black', 'white', 'gray', 'maroon', 'gray']",Horror, Thriller,,black, white, gray, maroon, gray
tt0082353,1981,"Crime, Drama, Mystery","['black', 'gray', 'silver', 'yellow', 'teal']",Crime, Drama, Mystery,black, gray, silver, yellow, teal
tt0082382,1981,"Comedy, Drama","['gray', 'white', 'black', 'silver', 'gray']",Comedy, Drama,,gray, white, black, silver, gray
tt0082398,1981,"Action, Adventure, Thriller","['gray', 'silver', 'red', 'black', 'white']",Action, Adventure, Thriller,gray, silver, red, black, white
tt0082402,1981,"Crime, Drama","['white', 'black', 'red', 'maroon', 'silver']",Crime, Drama,,white, black, red, maroon, silver
tt0082405,1981,"Comedy, Drama","['white', 'gray', 'silver', 'maroon', 'silver']",Comedy, Drama,,white, gray, silver, maroon, silver
tt0082406,1981,"Animation, Adventure, Drama","['green', 'silver', 'olive', 'white', 'maroon']",Animation, Adventure, Drama,green, silver, olive, white, maroon
tt0082416,1981,"Drama, Romance","['gray', 'white', 'silver', 'silver', 'gray']",Drama, Romance,,gray, white, silver, silver, gray
tt0082418,1981,"Horror, Mystery, Thriller","['black', 'gray', 'white', 'purple', 'gray']",Horror, Mystery, Thriller,black, gray, white, purple, gray
tt0082432,1981,"Adventure, Drama, History","['black', 'silver', 'olive', 'silver', 'gray']",Adventure, Drama, History,black, silver, olive, silver, gray
tt0082449,1981,"Drama, Horror, Thriller","['black', 'white', 'gray', 'gray', 'silver']",Drama, Horror, Thriller,black, white, gray, gray, silver
tt0082457,1981,"Comedy, Crime, Family","['black', 'silver', 'gray', 'gray', 'white']",Comedy, Crime, Family,black, silver, gray, gray, white
tt0082474,1981,"Adventure, Comedy, Crime","['silver', 'black', 'gray', 'olive', 'gray']",Adventure, Comedy, Crime,silver, black, gray, olive, gray
tt0082495,1981,Horror,"['white', 'black', 'silver', 'gray', 'maroon']",Horror,,,white, black, silver, gray, maroon
tt0082497,1981,"Drama, Horror, Thriller","['white', 'black', 'gray', 'black', 'silver']",Drama, Horror, Thriller,white, black, gray, black, silver
tt0082499,1981,Drama,"['silver', 'black', 'gray', 'white', 'silver']",Drama,,,silver, black, gray, white, silver
tt0082507,1981,"Comedy, Sci-Fi","['white', 'red', 'maroon', 'gray', 'yellow']",Comedy, Sci-Fi,,white, red, maroon, gray, yellow
tt0082517,1981,"Comedy, History","['maroon', 'silver', 'olive', 'black', 'gray']",Comedy, History,,maroon, silver, olive, black, gray
tt0082525,1981,"Action, Comedy","['silver', 'black', 'gray', 'white', 'gray']",Action, Comedy,,silver, black, gray, white, gray
tt0082533,1981,Horror,"['silver', 'black', 'olive', 'yellow', 'maroon']",Horror,,,silver, black, olive, yellow, maroon
tt0082558,1981,"Comedy, Sci-Fi","['gray', 'maroon', 'gray', 'white', 'silver']",Comedy, Sci-Fi,,gray, maroon, gray, white, silver
tt0082619,1981,Drama,"['black', 'gray', 'gray', 'gray', 'silver']",Drama,,,black, gray, gray, gray, silver
tt0082648,1981,"Action, Adventure, Western","['silver', 'olive', 'maroon', 'gray', 'silver']",Action, Adventure, Western,silver, olive, maroon, gray, silver
tt0082763,1981,"Comedy, Fantasy, Sci-Fi","['gray', 'black', 'olive', 'white', 'teal']",Comedy, Fantasy, Sci-Fi,gray, black, olive, white, teal
tt0082764,1981,"Comedy, Romance","['maroon', 'white', 'gray', 'black', 'silver']",Comedy, Romance,,maroon, white, gray, black, silver
tt0082766,1981,"Biography, Drama","['white', 'red', 'gray', 'maroon', 'silver']",Biography, Drama,,white, red, gray, maroon, silver
tt0082812,1981,"Horror, Mystery, Thriller","['gray', 'silver', 'silver', 'black', 'white']",Horror, Mystery, Thriller,gray, silver, silver, black, white
tt0082816,1981,"Drama, Music","['gray', 'white', 'black', 'silver', 'gray']",Drama, Music,,gray, white, black, silver, gray
tt0082817,1981,"Action, Crime, Thriller","['black', 'gray', 'white', 'gray', 'black']",Action, Crime, Thriller,black, gray, white, gray, black
